NPS (pulgadas),Schedule,Altura Caída (m),Masa Tubería (kg),Velocidad Impacto (km/h),Momento Impacto (kg·m/s),Energía Impacto (kJ),Radio Operacional (m),Radio Exclusión Látigo (m)
2-1/2,10,15,31.57,61.76,541.57,4.65,5.25,14.62
3,40,7,67.76,42.19,794.07,4.65,3.58,10.94
2-1/2,40,9,51.8,47.84,688.3,4.57,4.06,12.0
2-1/2,30,9,51.8,47.84,688.3,4.57,4.06,12.0
3,10,12,38.74,55.24,594.5,4.56,4.69,13.39
2,30,14,32.62,59.66,540.71,4.48,5.07,14.22
2,40,14,32.62,59.66,540.71,4.48,5.07,14.22
4,10,9,50.21,47.84,667.18,4.43,4.06,12.0
3,20,7,63.94,42.19,749.29,4.39,3.58,10.94
5,20,4,111.67,31.89,989.31,4.38,2.71,9.0
12,40,1,443.17,15.95,1962.98,4.35,1.35,6.0
2-1/2,10,14,31.57,59.66,523.2,4.34,5.07,14.22
8,30,2,220.9,22.55,1383.78,4.33,1.92,7.24
2-1/2,20,9,48.25,47.84,641.18,4.26,4.06,12.0
12,10,2,215.87,22.55,1352.24,4.24,1.92,7.24
2,20,16,26.88,63.78,476.21,4.22,5.42,15.0
3,10,11,38.74,52.89,569.19,4.18,4.49,12.95
2,30,13,32.62,57.49,521.04,4.16,4.88,13.82
2,40,13,32.62,57.49,521.04,4.16,4.88,13.82
4,20,5,83.33,35.66,825.35,4.09,3.03,9.71
5,10,6,69.38,39.06,752.73,4.08,3.32,10.35
2-1/2,40,8,51.8,45.1,648.93,4.07,3.83,11.49
2-1/2,30,8,51.8,45.1,648.93,4.07,3.83,11.49
6,10,5,82.96,35.66,821.68,4.07,3.03,9.71
2-1/2,10,13,31.57,57.49,504.17,4.03,4.88,13.82
3,40,6,67.76,39.06,735.17,3.99,3.32,10.35
3,30,6,67.76,39.06,735.17,3.99,3.32,10.35
2,20,15,26.88,61.76,461.09,3.95,5.25,14.62
6,20,3,133.89,27.62,1027.19,3.94,2.35,8.2
4,10,8,50.21,45.1,629.02,3.94,3.83,11.49
8,20,2,199.9,22.55,1252.21,3.92,1.92,7.24
2,40,12,32.62,55.24,500.6,3.84,4.69,13.39
2,30,12,32.62,55.24,500.6,3.84,4.69,13.39
12,30,1,391.11,15.95,1732.42,3.84,1.35,6.0
5,40,3,130.6,27.62,1001.96,3.84,2.35,8.2
5,30,3,130.6,27.62,1001.96,3.84,2.35,8.2
1-1/2,40,16,24.3,63.78,430.48,3.81,5.42,15.0
1-1/2,30,16,24.3,63.78,430.48,3.81,5.42,15.0
3,10,10,38.74,50.43,542.7,3.8,4.28,12.49
2-1/2,20,8,48.25,45.1,604.51,3.79,3.83,11.49
4,30,4,96.45,31.89,854.47,3.78,2.71,9.0
4,40,4,96.45,31.89,854.47,3.78,2.71,9.0
3,20,6,63.94,39.06,693.71,3.76,3.32,10.35
2-1/2,10,12,31.57,55.24,484.39,3.72,4.69,13.39
2,10,16,23.58,63.78,417.79,3.7,5.42,15.0
2,20,14,26.88,59.66,445.45,3.69,5.07,14.22
1-1/2,30,15,24.3,61.76,416.81,3.58,5.25,14.62
1-1/2,40,15,24.3,61.76,416.81,3.58,5.25,14.62
2-1/2,40,7,51.8,42.19,607.02,3.56,3.58,10.94
2-1/2,30,7,51.8,42.19,607.02,3.56,3.58,10.94
10,40,1,361.75,15.95,1602.36,3.55,1.35,6.0
8,10,3,119.81,27.62,919.16,3.53,2.35,8.2
2,40,11,32.62,52.89,479.29,3.52,4.49,12.95
2,30,11,32.62,52.89,479.29,3.52,4.49,12.95
2,10,15,23.58,61.76,404.52,3.47,5.25,14.62
4,10,7,50.21,42.19,588.4,3.45,3.58,10.94
2,20,13,26.88,57.49,429.25,3.43,4.88,13.82
3,10,9,38.74,47.84,514.85,3.42,4.06,12.0
2-1/2,10,11,31.57,52.89,463.77,3.41,4.49,12.95
5,10,5,69.38,35.66,687.15,3.4,3.03,9.71
1-1/2,30,14,24.3,59.66,402.68,3.34,5.07,14.22
1-1/2,40,14,24.3,59.66,402.68,3.34,5.07,14.22
1-1/2,20,16,21.23,63.78,376.16,3.33,5.42,15.0
6,30,2,169.58,22.55,1062.29,3.33,1.92,7.24
6,40,2,169.58,22.55,1062.29,3.33,1.92,7.24
3,30,5,67.76,35.66,671.11,3.32,3.03,9.71
3,40,5,67.76,35.66,671.11,3.32,3.03,9.71
2-1/2,20,7,48.25,42.19,565.47,3.31,3.58,10.94
5,20,3,111.67,27.62,856.77,3.29,2.35,8.2
4,20,4,83.33,31.89,738.22,3.27,2.71,9.0
10,10,2,166.66,22.55,1043.99,3.27,1.92,7.24
6,10,4,82.96,31.89,734.94,3.26,2.71,9.0
2,10,14,23.58,59.66,390.8,3.24,5.07,14.22
2,40,10,32.62,50.43,456.98,3.2,4.28,12.49
2,30,10,32.62,50.43,456.98,3.2,4.28,12.49
1-1/4,40,16,20.35,63.78,360.63,3.19,5.42,15.0
1-1/4,30,16,20.35,63.78,360.63,3.19,5.42,15.0
2,20,12,26.88,55.24,412.41,3.16,4.69,13.39
3,20,5,63.94,35.66,633.27,3.14,3.03,9.71
1-1/2,20,15,21.23,61.76,364.22,3.12,5.25,14.62
1-1/2,30,13,24.3,57.49,388.03,3.1,4.88,13.82
1-1/2,40,13,24.3,57.49,388.03,3.1,4.88,13.82
2-1/2,10,10,31.57,50.43,442.19,3.1,4.28,12.49
2-1/2,40,6,51.8,39.06,561.99,3.05,3.32,10.35
2-1/2,30,6,51.8,39.06,561.99,3.05,3.32,10.35
3,10,8,38.74,45.1,485.41,3.04,3.83,11.49
2,10,13,23.58,57.49,376.59,3.01,4.88,13.82
1-1/4,30,15,20.35,61.76,349.18,3.0,5.25,14.62
10,30,1,306.08,15.95,1355.78,3.0,1.35,6.0
1-1/4,40,15,20.35,61.76,349.18,3.0,5.25,14.62
4,10,6,50.21,39.06,544.75,2.96,3.32,10.35
12,20,1,298.28,15.95,1321.2,2.93,1.35,6.0
1-1/2,10,16,18.66,63.78,330.64,2.93,5.42,15.0
1-1/2,20,14,21.23,59.66,351.87,2.92,5.07,14.22
2,20,11,26.88,52.89,394.85,2.9,4.49,12.95
2,30,9,32.62,47.84,433.53,2.88,4.06,12.0
2,40,9,32.62,47.84,433.53,2.88,4.06,12.0
1-1/2,40,12,24.3,55.24,372.81,2.86,4.69,13.39
1-1/2,30,12,24.3,55.24,372.81,2.86,4.69,13.39
4,40,3,96.45,27.62,739.99,2.84,2.35,8.2
2-1/2,20,6,48.25,39.06,523.52,2.84,3.32,10.35
4,30,3,96.45,27.62,739.99,2.84,2.35,8.2
1-1/4,30,14,20.35,59.66,337.34,2.8,5.07,14.22
1-1/4,40,14,20.35,59.66,337.34,2.8,5.07,14.22
2-1/2,10,9,31.57,47.84,419.5,2.79,4.06,12.0
2,10,12,23.58,55.24,361.81,2.78,4.69,13.39
1-1/2,10,15,18.66,61.76,320.14,2.75,5.25,14.62
5,10,4,69.38,31.89,614.6,2.72,2.71,9.0
1-1/2,20,13,21.23,57.49,339.07,2.71,4.88,13.82
1-1/4,20,16,17.24,63.78,305.46,2.71,5.42,15.0
3,40,4,67.76,31.89,600.26,2.66,2.71,9.0
3,10,7,38.74,42.19,454.06,2.66,3.58,10.94
3,30,4,67.76,31.89,600.26,2.66,2.71,9.0
2,20,10,26.88,50.43,376.47,2.64,4.28,12.49
6,20,2,133.89,22.55,838.7,2.63,1.92,7.24
1-1/2,40,11,24.3,52.89,356.94,2.62,4.49,12.95
1-1/2,30,11,24.3,52.89,356.94,2.62,4.49,12.95
1-1/4,30,13,20.35,57.49,325.07,2.6,4.88,13.82
1-1/4,40,13,20.35,57.49,325.07,2.6,4.88,13.82
2,40,8,32.62,45.1,408.74,2.56,3.83,11.49
5,30,2,130.6,22.55,818.1,2.56,1.92,7.24
2,30,8,32.62,45.1,408.74,2.56,3.83,11.49
5,40,2,130.6,22.55,818.1,2.56,1.92,7.24
1-1/2,10,14,18.66,59.66,309.29,2.56,5.07,14.22
2-1/2,30,5,51.8,35.66,513.03,2.54,3.03,9.71
2-1/2,40,5,51.8,35.66,513.03,2.54,3.03,9.71
1-1/4,10,16,16.16,63.78,286.34,2.54,5.42,15.0
2,10,11,23.58,52.89,346.41,2.54,4.49,12.95
1-1/4,20,15,17.24,61.76,295.76,2.54,5.25,14.62
3,20,4,63.94,31.89,566.41,2.51,2.71,9.0
1-1/2,20,12,21.23,55.24,325.77,2.5,4.69,13.39
8,40,1,255.29,15.95,1130.81,2.5,1.35,6.0
2-1/2,10,8,31.57,45.1,395.51,2.48,3.83,11.49
4,10,5,50.21,35.66,497.28,2.46,3.03,9.71
10,20,1,250.55,15.95,1109.78,2.46,1.35,6.0
4,20,3,83.33,27.62,639.31,2.45,2.35,8.2
6,10,3,82.96,27.62,636.47,2.44,2.35,8.2
1-1/4,40,12,20.35,55.24,312.32,2.4,4.69,13.39
1-1/4,30,12,20.35,55.24,312.32,2.4,4.69,13.39
1-1/2,10,13,18.66,57.49,298.04,2.38,4.88,13.82
1-1/4,10,15,16.16,61.76,277.25,2.38,5.25,14.62
1-1/2,30,10,24.3,50.43,340.33,2.38,4.28,12.49
1-1/2,40,10,24.3,50.43,340.33,2.38,4.28,12.49
2-1/2,20,5,48.25,35.66,477.91,2.37,3.03,9.71
1-1/4,20,14,17.24,59.66,285.73,2.37,5.07,14.22
2,20,9,26.88,47.84,357.16,2.37,4.06,12.0
1,40,16,15.01,63.78,266.02,2.36,5.42,15.0
1,30,16,15.01,63.78,266.02,2.36,5.42,15.0
8,10,2,119.81,22.55,750.5,2.35,1.92,7.24
2,10,10,23.58,50.43,330.29,2.31,4.28,12.49
1-1/2,20,11,21.23,52.89,311.9,2.29,4.49,12.95
3,10,6,38.74,39.06,420.37,2.28,3.32,10.35
2,40,7,32.62,42.19,382.34,2.24,3.58,10.94
2,30,7,32.62,42.19,382.34,2.24,3.58,10.94
1-1/4,10,14,16.16,59.66,267.85,2.22,5.07,14.22
1,30,15,15.01,61.76,257.57,2.21,5.25,14.62
1,40,15,15.01,61.76,257.57,2.21,5.25,14.62
1-1/2,10,12,18.66,55.24,286.34,2.2,4.69,13.39
1-1/4,20,13,17.24,57.49,275.34,2.2,4.88,13.82
1-1/4,40,11,20.35,52.89,299.02,2.2,4.49,12.95
1-1/4,30,11,20.35,52.89,299.02,2.2,4.49,12.95
5,20,2,111.67,22.55,699.55,2.19,1.92,7.24
2-1/2,10,7,31.57,42.19,369.96,2.17,3.58,10.94
8,30,1,220.9,15.95,978.48,2.17,1.35,6.0
1-1/2,30,9,24.3,47.84,322.86,2.15,4.06,12.0
1-1/2,40,9,24.3,47.84,322.86,2.15,4.06,12.0
12,10,1,215.87,15.95,956.18,2.12,1.35,6.0
2,20,8,26.88,45.1,336.73,2.11,3.83,11.49
1-1/2,20,10,21.23,50.43,297.38,2.08,4.28,12.49
2,10,9,23.58,47.84,313.34,2.08,4.06,12.0
1-1/4,10,13,16.16,57.49,258.11,2.06,4.88,13.82
1,30,14,15.01,59.66,248.84,2.06,5.07,14.22
1,40,14,15.01,59.66,248.84,2.06,5.07,14.22
1,20,16,13.09,63.78,231.89,2.05,5.42,15.0
5,10,3,69.38,27.62,532.26,2.04,2.35,8.2
2-1/2,30,4,51.8,31.89,458.87,2.03,2.71,9.0
2-1/2,40,4,51.8,31.89,458.87,2.03,2.71,9.0
1-1/4,20,12,17.24,55.24,264.54,2.03,4.69,13.39
1-1/2,10,11,18.66,52.89,274.15,2.01,4.49,12.95
1-1/4,40,10,20.35,50.43,285.11,2.0,4.28,12.49
1-1/4,30,10,20.35,50.43,285.11,2.0,4.28,12.49
3,30,3,67.76,27.62,519.84,1.99,2.35,8.2
3,40,3,67.76,27.62,519.84,1.99,2.35,8.2
4,10,4,50.21,31.89,444.79,1.97,2.71,9.0
1,10,16,12.55,63.78,222.44,1.97,5.42,15.0
8,20,1,199.9,15.95,885.45,1.96,1.35,6.0
1,20,15,13.09,61.76,224.52,1.93,5.25,14.62
2,40,6,32.62,39.06,353.98,1.92,3.32,10.35
2,30,6,32.62,39.06,353.98,1.92,3.32,10.35
1,40,13,15.01,57.49,239.78,1.91,4.88,13.82
1-1/2,30,8,24.3,45.1,304.4,1.91,3.83,11.49
1-1/2,40,8,24.3,45.1,304.4,1.91,3.83,11.49
1,30,13,15.01,57.49,239.78,1.91,4.88,13.82
1-1/4,10,12,16.16,55.24,247.98,1.9,4.69,13.39
3,10,5,38.74,35.66,383.75,1.9,3.03,9.71
2-1/2,20,4,48.25,31.89,427.45,1.89,2.71,9.0
4,40,2,96.45,22.55,604.2,1.89,1.92,7.24
4,30,2,96.45,22.55,604.2,1.89,1.92,7.24
3,20,3,63.94,27.62,490.53,1.88,2.35,8.2
1-1/2,20,9,21.23,47.84,282.12,1.87,4.06,12.0
2-1/2,10,6,31.57,39.06,342.52,1.86,3.32,10.35
1-1/4,20,11,17.24,52.89,253.27,1.86,4.49,12.95
2,10,8,23.58,45.1,295.42,1.85,3.83,11.49
2,20,7,26.88,42.19,314.98,1.85,3.58,10.94
1,10,15,12.55,61.76,215.37,1.85,5.25,14.62
1-1/2,10,10,18.66,50.43,261.4,1.83,4.28,12.49
1-1/4,40,9,20.35,47.84,270.48,1.8,4.06,12.0
1,20,14,13.09,59.66,216.91,1.8,5.07,14.22
1-1/4,30,9,20.35,47.84,270.48,1.8,4.06,12.0
1,40,12,15.01,55.24,230.38,1.77,4.69,13.39
1,30,12,15.01,55.24,230.38,1.77,4.69,13.39
1-1/4,10,11,16.16,52.89,237.42,1.74,4.49,12.95
1,10,14,12.55,59.66,208.07,1.72,5.07,14.22
1-1/4,20,10,17.24,50.43,241.49,1.69,4.28,12.49
1,20,13,13.09,57.49,209.02,1.67,4.88,13.82
1-1/2,20,8,21.23,45.1,265.99,1.67,3.83,11.49
1-1/2,40,7,24.3,42.19,284.74,1.67,3.58,10.94
1-1/2,30,7,24.3,42.19,284.74,1.67,3.58,10.94
6,40,1,169.58,15.95,751.15,1.66,1.35,6.0
6,30,1,169.58,15.95,751.15,1.66,1.35,6.0
1-1/2,10,9,18.66,47.84,247.98,1.65,4.06,12.0
6,10,2,82.96,22.55,519.68,1.63,1.92,7.24
10,10,1,166.66,15.95,738.21,1.63,1.35,6.0
4,20,2,83.33,22.55,522.0,1.63,1.92,7.24
1,40,11,15.01,52.89,220.57,1.62,4.49,12.95
2,10,7,23.58,42.19,276.34,1.62,3.58,10.94
1,30,11,15.01,52.89,220.57,1.62,4.49,12.95
1-1/4,40,8,20.35,45.1,255.01,1.6,3.83,11.49
2,30,5,32.62,35.66,323.14,1.6,3.03,9.71
1-1/4,30,8,20.35,45.1,255.01,1.6,3.83,11.49
1,10,13,12.55,57.49,200.5,1.6,4.88,13.82
2,40,5,32.62,35.66,323.14,1.6,3.03,9.71
1-1/4,10,10,16.16,50.43,226.37,1.59,4.28,12.49
2,20,6,26.88,39.06,291.62,1.58,3.32,10.35
2-1/2,10,5,31.57,35.66,312.67,1.55,3.03,9.71
1,20,12,13.09,55.24,200.82,1.54,4.69,13.39
2-1/2,30,3,51.8,27.62,397.39,1.52,2.35,8.2
1-1/4,20,9,17.24,47.84,229.1,1.52,4.06,12.0
2-1/2,40,3,51.8,27.62,397.39,1.52,2.35,8.2
3,10,4,38.74,31.89,343.23,1.52,2.71,9.0
4,10,3,50.21,27.62,385.2,1.48,2.35,8.2
1,10,12,12.55,55.24,192.64,1.48,4.69,13.39
1,40,10,15.01,50.43,210.3,1.47,4.28,12.49
1,30,10,15.01,50.43,210.3,1.47,4.28,12.49
1-1/2,10,8,18.66,45.1,233.8,1.46,3.83,11.49
1-1/2,20,7,21.23,42.19,248.81,1.46,3.58,10.94
1-1/2,40,6,24.3,39.06,263.62,1.43,3.32,10.35
1-1/4,10,9,16.16,47.84,214.76,1.43,4.06,12.0
1-1/2,30,6,24.3,39.06,263.62,1.43,3.32,10.35
2-1/2,20,3,48.25,27.62,370.19,1.42,2.35,8.2
1,20,11,13.09,52.89,192.27,1.41,4.49,12.95
1-1/4,30,7,20.35,42.19,238.54,1.4,3.58,10.94
1-1/4,40,7,20.35,42.19,238.54,1.4,3.58,10.94
2,10,6,23.58,39.06,255.84,1.39,3.32,10.35
5,10,2,69.38,22.55,434.59,1.36,1.92,7.24
1-1/4,20,8,17.24,45.1,215.99,1.35,3.83,11.49
1,10,11,12.55,52.89,184.44,1.35,4.49,12.95
1,30,9,15.01,47.84,199.51,1.33,4.06,12.0
3,40,2,67.76,22.55,424.45,1.33,1.92,7.24
1,40,9,15.01,47.84,199.51,1.33,4.06,12.0
3,30,2,67.76,22.55,424.45,1.33,1.92,7.24
2,20,5,26.88,35.66,266.21,1.32,3.03,9.71
6,20,1,133.89,15.95,593.05,1.31,1.35,6.0
5,40,1,130.6,15.95,578.48,1.28,1.35,6.0
1-1/2,10,7,18.66,42.19,218.7,1.28,3.58,10.94
2,40,4,32.62,31.89,289.02,1.28,2.71,9.0
5,30,1,130.6,15.95,578.48,1.28,1.35,6.0
1,20,10,13.09,50.43,183.32,1.28,4.28,12.49
2,30,4,32.62,31.89,289.02,1.28,2.71,9.0
1-1/4,10,8,16.16,45.1,202.48,1.27,3.83,11.49
3,20,2,63.94,22.55,400.51,1.25,1.92,7.24
1-1/2,20,6,21.23,39.06,230.35,1.25,3.32,10.35
2-1/2,10,4,31.57,31.89,279.66,1.24,2.71,9.0
1,10,10,12.55,50.43,175.85,1.23,4.28,12.49
1-1/4,40,6,20.35,39.06,220.84,1.2,3.32,10.35
1-1/4,30,6,20.35,39.06,220.84,1.2,3.32,10.35
1-1/2,40,5,24.3,35.66,240.65,1.19,3.03,9.71
1-1/2,30,5,24.3,35.66,240.65,1.19,3.03,9.71
8,10,1,119.81,15.95,530.68,1.18,1.35,6.0
1,40,8,15.01,45.1,188.1,1.18,3.83,11.49
1,30,8,15.01,45.1,188.1,1.18,3.83,11.49
1-1/4,20,7,17.24,42.19,202.04,1.18,3.58,10.94
2,10,5,23.58,35.66,233.55,1.16,3.03,9.71
1,20,9,13.09,47.84,173.92,1.16,4.06,12.0
3,10,3,38.74,27.62,297.25,1.14,2.35,8.2
1,10,9,12.55,47.84,166.83,1.11,4.06,12.0
1-1/4,10,7,16.16,42.19,189.4,1.11,3.58,10.94
5,20,1,111.67,15.95,494.66,1.1,1.35,6.0
1-1/2,10,6,18.66,39.06,202.48,1.1,3.32,10.35
2,20,4,26.88,31.89,238.1,1.05,2.71,9.0
1-1/2,20,5,21.23,35.66,210.28,1.04,3.03,9.71
1,20,8,13.09,45.1,163.97,1.03,3.83,11.49
1,30,7,15.01,42.19,175.95,1.03,3.58,10.94
1,40,7,15.01,42.19,175.95,1.03,3.58,10.94
2-1/2,30,2,51.8,22.55,324.47,1.02,1.92,7.24
2-1/2,40,2,51.8,22.55,324.47,1.02,1.92,7.24
1-1/4,20,6,17.24,39.06,187.06,1.01,3.32,10.35
1-1/4,30,5,20.35,35.66,201.6,1.0,3.03,9.71
1-1/4,40,5,20.35,35.66,201.6,1.0,3.03,9.71
1,10,8,12.55,45.1,157.29,0.99,3.83,11.49
4,10,2,50.21,22.55,314.51,0.99,1.92,7.24
2,40,3,32.62,27.62,250.3,0.96,2.35,8.2
2,30,3,32.62,27.62,250.3,0.96,2.35,8.2
1-1/2,40,4,24.3,31.89,215.24,0.95,2.71,9.0
4,40,1,96.45,15.95,427.23,0.95,1.35,6.0
1-1/2,30,4,24.3,31.89,215.24,0.95,2.71,9.0
4,30,1,96.45,15.95,427.23,0.95,1.35,6.0
2-1/2,20,2,48.25,22.55,302.26,0.95,1.92,7.24
1-1/4,10,6,16.16,39.06,175.35,0.95,3.32,10.35
2-1/2,10,3,31.57,27.62,242.2,0.93,2.35,8.2
2,10,4,23.58,31.89,208.89,0.93,2.71,9.0
1-1/2,10,5,18.66,35.66,184.83,0.92,3.03,9.71
1,20,7,13.09,42.19,153.38,0.9,3.58,10.94
1,40,6,15.01,39.06,162.9,0.88,3.32,10.35
1,30,6,15.01,39.06,162.9,0.88,3.32,10.35
1,10,7,12.55,42.19,147.13,0.86,3.58,10.94
1-1/4,20,5,17.24,35.66,170.76,0.85,3.03,9.71
1-1/2,20,4,21.23,31.89,188.08,0.83,2.71,9.0
4,20,1,83.33,15.95,369.11,0.82,1.35,6.0
6,10,1,82.96,15.95,367.47,0.81,1.35,6.0
1-1/4,40,4,20.35,31.89,180.32,0.8,2.71,9.0
1-1/4,30,4,20.35,31.89,180.32,0.8,2.71,9.0
1-1/4,10,5,16.16,35.66,160.07,0.79,3.03,9.71
2,20,3,26.88,27.62,206.2,0.79,2.35,8.2
1,20,6,13.09,39.06,142.0,0.77,3.32,10.35
3,10,2,38.74,22.55,242.7,0.76,1.92,7.24
1,10,6,12.55,39.06,136.21,0.74,3.32,10.35
1,40,5,15.01,35.66,148.71,0.74,3.03,9.71
1,30,5,15.01,35.66,148.71,0.74,3.03,9.71
1-1/2,10,4,18.66,31.89,165.32,0.73,2.71,9.0
1-1/2,30,3,24.3,27.62,186.41,0.72,2.35,8.2
1-1/2,40,3,24.3,27.62,186.41,0.72,2.35,8.2
2,10,3,23.58,27.62,180.91,0.69,2.35,8.2
5,10,1,69.38,15.95,307.3,0.68,1.35,6.0
1-1/4,20,4,17.24,31.89,152.73,0.68,2.71,9.0
3,40,1,67.76,15.95,300.13,0.66,1.35,6.0
3,30,1,67.76,15.95,300.13,0.66,1.35,6.0
1,20,5,13.09,35.66,129.63,0.64,3.03,9.71
2,30,2,32.62,22.55,204.37,0.64,1.92,7.24
2,40,2,32.62,22.55,204.37,0.64,1.92,7.24
3,20,1,63.94,15.95,283.21,0.63,1.35,6.0
1-1/4,10,4,16.16,31.89,143.17,0.63,2.71,9.0
1,10,5,12.55,35.66,124.35,0.62,3.03,9.71
2-1/2,10,2,31.57,22.55,197.75,0.62,1.92,7.24
1-1/2,20,3,21.23,27.62,162.88,0.62,2.35,8.2
1-1/4,40,3,20.35,27.62,156.16,0.6,2.35,8.2
1-1/4,30,3,20.35,27.62,156.16,0.6,2.35,8.2
1,40,4,15.01,31.89,133.01,0.59,2.71,9.0
1,30,4,15.01,31.89,133.01,0.59,2.71,9.0
1-1/2,10,3,18.66,27.62,143.17,0.55,2.35,8.2
2,20,2,26.88,22.55,168.36,0.53,1.92,7.24
1-1/4,20,3,17.24,27.62,132.27,0.51,2.35,8.2
2-1/2,40,1,51.8,15.95,229.43,0.51,1.35,6.0
2-1/2,30,1,51.8,15.95,229.43,0.51,1.35,6.0
1,20,4,13.09,31.89,115.94,0.51,2.71,9.0
4,10,1,50.21,15.95,222.39,0.49,1.35,6.0
1,10,4,12.55,31.89,111.22,0.49,2.71,9.0
1-1/4,10,3,16.16,27.62,123.99,0.48,2.35,8.2
1-1/2,30,2,24.3,22.55,152.2,0.48,1.92,7.24
1-1/2,40,2,24.3,22.55,152.2,0.48,1.92,7.24
2-1/2,20,1,48.25,15.95,213.73,0.47,1.35,6.0
2,10,2,23.58,22.55,147.71,0.46,1.92,7.24
1,40,3,15.01,27.62,115.19,0.44,2.35,8.2
1,30,3,15.01,27.62,115.19,0.44,2.35,8.2
1-1/2,20,2,21.23,22.55,132.99,0.42,1.92,7.24
1-1/4,40,2,20.35,22.55,127.5,0.4,1.92,7.24
1-1/4,30,2,20.35,22.55,127.5,0.4,1.92,7.24
1,20,3,13.09,27.62,100.41,0.39,2.35,8.2
3,10,1,38.74,15.95,171.62,0.38,1.35,6.0
1,10,3,12.55,27.62,96.32,0.37,2.35,8.2
1-1/2,10,2,18.66,22.55,116.9,0.37,1.92,7.24
1-1/4,20,2,17.24,22.55,108.0,0.34,1.92,7.24
1-1/4,10,2,16.16,22.55,101.24,0.32,1.92,7.24
2,30,1,32.62,15.95,144.51,0.32,1.35,6.0
2,40,1,32.62,15.95,144.51,0.32,1.35,6.0
2-1/2,10,1,31.57,15.95,139.83,0.31,1.35,6.0
1,30,2,15.01,22.55,94.05,0.29,1.92,7.24
1,40,2,15.01,22.55,94.05,0.29,1.92,7.24
2,20,1,26.88,15.95,119.05,0.26,1.35,6.0
1,20,2,13.09,22.55,81.98,0.26,1.92,7.24
1,10,2,12.55,22.55,78.64,0.25,1.92,7.24
1-1/2,30,1,24.3,15.95,107.62,0.24,1.35,6.0
1-1/2,40,1,24.3,15.95,107.62,0.24,1.35,6.0
2,10,1,23.58,15.95,104.45,0.23,1.35,6.0
1-1/2,20,1,21.23,15.95,94.04,0.21,1.35,6.0
1-1/4,30,1,20.35,15.95,90.16,0.2,1.35,6.0
1-1/4,40,1,20.35,15.95,90.16,0.2,1.35,6.0
1-1/2,10,1,18.66,15.95,82.66,0.18,1.35,6.0
1-1/4,20,1,17.24,15.95,76.37,0.17,1.35,6.0
1-1/4,10,1,16.16,15.95,71.59,0.16,1.35,6.0
1,40,1,15.01,15.95,66.5,0.15,1.35,6.0
1,30,1,15.01,15.95,66.5,0.15,1.35,6.0
1,20,1,13.09,15.95,57.97,0.13,1.35,6.0
1,10,1,12.55,15.95,55.61,0.12,1.35,6.0
